customer_id,company_size,vertical,onboard_channel,region,account_manager,credit_limit_gbp,payment_terms_days,years_in_business,is_vip
12346,Large,Homeware Retail,Direct Sales,UK,Emily Hartley,11250,30,13,1
12347,Large,Other,Trade Show,Rest of World,Mohammed Al-Rashid,10000,30,11,1
12348,Medium,Department Store,Direct Sales,Western Europe,Sarah Bennett,1000,60,9,0
12349,Medium,Online Retailer,Trade Show,Western Europe,James Thornton,2000,60,18,0
12350,Small,Gift Shop,Cold Outreach,Western Europe,Self-Serve,500,30,12,0
12352,Medium,Gift Shop,Referral,Western Europe,Emily Hartley,1000,30,11,0
12353,Small,Gift Shop,Online Enquiry,Rest of World,Self-Serve,500,30,8,0
12354,Medium,Market Trader,Direct Sales,Western Europe,Sarah Bennett,500,60,10,0
12355,Small,Online Retailer,Cold Outreach,Rest of World,Self-Serve,250,60,2,0
12356,Medium,Department Store,Online Enquiry,Western Europe,Priya Kapoor,1750,60,17,0
12357,Large,Gift Shop,Referral,Western Europe,Oliver Walsh,10000,90,13,1
12358,Medium,Other,Online Enquiry,Western Europe,Emily Hartley,1500,30,18,0
12359,Large,Market Trader,Online Enquiry,Western Europe,Mohammed Al-Rashid,15500,30,28,1
12360,Medium,Gift Shop,Online Enquiry,Western Europe,Sarah Bennett,1250,30,13,0
12361,Small,Gift Shop,Online Enquiry,Western Europe,Self-Serve,750,30,10,0
12362,Large,Gift Shop,Cold Outreach,Western Europe,Priya Kapoor,11250,30,36,1
12363,Small,Homeware Retail,Online Enquiry,Rest of World,Self-Serve,500,30,4,0
12364,Medium,Online Retailer,Online Enquiry,Western Europe,Emily Hartley,2250,30,6,0
12365,Small,Homeware Retail,Online Enquiry,Western Europe,Self-Serve,1000,30,1,0
12367,Small,Homeware Retail,Referral,Western Europe,Self-Serve,250,60,12,0
12370,Medium,Online Retailer,Online Enquiry,Western Europe,Emily Hartley,1000,30,8,0
12371,Medium,Gift Shop,Trade Show,Western Europe,Mohammed Al-Rashid,1250,30,16,0
12372,Medium,Homeware Retail,Trade Show,Western Europe,Sarah Bennett,2000,60,6,0
12373,Small,Homeware Retail,Referral,Western Europe,Self-Serve,250,30,10,0
12374,Small,Homeware Retail,Cold Outreach,Western Europe,Self-Serve,500,30,3,0
12375,Small,Market Trader,Online Enquiry,Western Europe,Self-Serve,750,60,1,0
12377,Medium,Gift Shop,Trade Show,Western Europe,Mohammed Al-Rashid,2000,90,9,0
12378,Large,Online Retailer,Direct Sales,Western Europe,Sarah Bennett,10000,90,14,1
12379,Small,Online Retailer,Trade Show,Western Europe,Self-Serve,250,30,7,0
12380,Medium,Gift Shop,Direct Sales,Western Europe,Priya Kapoor,2500,60,10,0
12381,Medium,Online Retailer,Trade Show,Western Europe,Oliver Walsh,1250,30,13,0
12383,Medium,Gift Shop,Trade Show,Western Europe,Mohammed Al-Rashid,3250,30,9,0
12384,Small,Gift Shop,Online Enquiry,Western Europe,Self-Serve,750,30,3,0
12386,Small,Other,Online Enquiry,Rest of World,Self-Serve,500,30,3,0
12388,Medium,Other,Trade Show,Rest of World,Emily Hartley,1750,60,20,0
12390,Small,Market Trader,Online Enquiry,Western Europe,Self-Serve,500,30,6,0
12391,Small,Homeware Retail,Online Enquiry,Western Europe,Self-Serve,500,30,1,0
12393,Medium,Gift Shop,Direct Sales,Rest of World,Oliver Walsh,1250,30,7,0
12394,Medium,Department Store,Direct Sales,Western Europe,Emily Hartley,1500,30,10,0
12395,Medium,Homeware Retail,Referral,Western Europe,Mohammed Al-Rashid,750,90,19,0
12397,Medium,Gift Shop,Trade Show,Western Europe,James Thornton,2250,30,15,0
12398,Medium,Homeware Retail,Online Enquiry,Western Europe,Priya Kapoor,2500,60,5,0
12399,Medium,Gift Shop,Trade Show,Western Europe,Oliver Walsh,750,30,22,0
12401,Small,Florist,Trade Show,Western Europe,Self-Serve,250,30,5,0
12402,Small,Gift Shop,Online Enquiry,Western Europe,Self-Serve,250,30,9,0
12403,Small,Online Retailer,Online Enquiry,Western Europe,Self-Serve,250,60,2,0
12405,Medium,Homeware Retail,Referral,Western Europe,Oliver Walsh,2250,30,1,0
12406,Medium,Online Retailer,Online Enquiry,Western Europe,Emily Hartley,1250,30,3,0
12407,Medium,Online Retailer,Cold Outreach,Western Europe,Mohammed Al-Rashid,1750,30,1,0
12408,Medium,Gift Shop,Trade Show,Western Europe,Sarah Bennett,500,60,21,0
12409,Large,Other,Trade Show,Western Europe,James Thornton,10500,90,20,1
