customer_id,churn_probability,risk_tier
12346,1,High
12347,0,Low
12348,1,High
12350,1,High
12352,0,Low
12353,1,High
12354,0,Low
12355,1,High
12356,1,High
12358,0,Low
12359,0,Low
12360,0,Low
12361,1,High
12362,0,Low
12363,1,High
12364,0,Low
12365,1,High
12370,0,Low
12372,0,Low
12373,1,High
12377,1,High
12378,0,Low
12379,1,High
12380,0,Low
12381,0,Low
12383,0,Low
12384,1,High
12386,1,High
12388,0,Low
12393,0,Low
12394,0,Low
12395,0,Low
12397,0,Low
12399,0,Low
12401,1,High
12402,1,High
12405,1,High
12406,1,High
12407,0,Low
12408,0,Low
12409,0,Low
12410,1,High
12412,0,Low
12413,1,High
12414,1,High
12415,0,Low
12417,0,Low
12418,1,High
12421,0,Low
12422,1,High
12423,0,Low
12424,0,Low
12426,1,High
12427,1,High
12428,0,Low
12429,0,Low
12431,0,Low
12432,0,Low
12433,0,Low
12434,1,High
12435,0,Low
12437,0,Low
12438,0,Low
12441,1,High
12444,0,Low
12447,1,High
12449,0,Low
12450,1,High
12451,0,Low
12453,1,High
12455,0,Low
12456,0,Low
12457,0,Low
12458,0,Low
12461,1,High
12462,0,Low
12463,0,Low
12464,0,Low
12465,1,High
12468,1,High
12471,0,Low
12472,0,Low
12473,0,Low
12474,0,Low
12476,0,Low
12477,0,Low
12480,0,Low
12481,0,Low
12483,0,Low
12484,0,Low
12489,1,High
12490,0,Low
12492,1,High
12493,1,High
12494,0,Low
12500,0,Low
12501,1,High
12502,0,Low
12506,1,High
12507,0,Low
12509,1,High
12510,0,Low
12513,1,High
12514,1,High
12515,1,High
12516,0,Low
12517,0,Low
12518,0,Low
12520,0,Low
12521,1,High
12523,0,Low
12524,0,Low
12527,1,High
12528,0,Low
12530,0,Low
12534,0,Low
12535,1,High
12539,0,Low
12540,0,Low
12541,0,Low
12545,0,Low
12547,1,High
12548,1,High
12551,1,High
12553,0,Low
12556,1,High
12557,0,Low
12559,1,High
12560,0,Low
12561,1,High
12562,0,Low
12564,1,High
12565,1,High
12567,0,Low
12569,0,Low
12571,1,High
12573,1,High
12574,1,High
12576,0,Low
12577,1,High
12578,1,High
12580,1,High
12582,1,High
12583,0,Low
12584,0,Low
12585,1,High
12589,1,High
12590,0,Low
12591,1,High
12592,1,High
12593,1,High
