Signal,Type,Reference,Current,PSI,Status
churn (target),target,45.8%,34.6%,0.052367663675802076,Stable
recency,numeric,46.03,47.99,0.12025467507889644,Moderate
avg_basket_size,numeric,227.67,238.48,0.025983438803514777,Stable
avg_order_interarrival_days,numeric,12.63,15.46,0.024174903720635472,Stable
product_diversity,numeric,35.91,37.45,0.01562301677426836,Stable
credit_limit_gbp,numeric,2847.70,2884.43,0.014879591773003966,Stable
frequency,numeric,2.16,2.39,0.014799427250258606,Stable
company_size,categorical,Small (46%),Medium (42%),0.01313401277890425,Stable
monetary,numeric,974.76,1098.84,0.012872983444137173,Stable
account_manager,categorical,Self-Serve (46%),Self-Serve (41%),0.011181648743361807,Stable
rolling_60d_spend,numeric,487.35,521.21,0.010631516609990416,Stable
rolling_30d_spend,numeric,257.09,259.97,0.009075513572025675,Stable
rolling_90d_spend,numeric,702.77,792.44,0.005511814639794305,Stable
vertical,categorical,Gift Shop (28%),Gift Shop (28%),0.004753131690015995,Stable
years_in_business,numeric,9.34,9.64,0.0035211736462799786,Stable
region,categorical,UK (91%),UK (90%),0.003142862591127589,Stable
onboard_channel,categorical,Online Enquiry (31%),Online Enquiry (30%),0.0008426429108655288,Stable
cancellation_rate,numeric,0.11,0.10,0.0005678010557013028,Stable
payment_terms_days,numeric,45.88,46.20,8.25639314386134e-05,Stable
is_vip,numeric,0.18,0.17,0.0,Stable
